recruiter_id,company_id,email_outcome,phone_outcome,location_outcome,overall_outcome,rejection_reason
16437,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16438,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16439,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16441,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16442,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16483,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16484,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16485,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16486,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16487,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16488,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16489,48664,PROPOSED,SKIPPED,SKIPPED,PROPOSED,
